time, x, y
2024-07-22-10-53-03,2.062307119369507,1.50E-05
2024-07-22-10-53-04,3.147810459136963,1.50E-05
2024-07-22-10-53-06,5.040191173553467,1.51E-05
2024-07-22-10-53-07,6.20136022567749,1.51E-05
2024-07-22-10-53-09,8.041849851608276,1.49E-05
2024-07-22-10-53-10,9.133300542831421,1.50E-05
2024-07-22-10-53-12,11.072551965713501,1.52E-05
2024-07-22-10-53-13,12.149258852005005,1.49E-05
2024-07-22-10-53-15,14.074120044708252,1.48E-05
2024-07-22-10-53-16,15.133692026138306,1.50E-05
2024-07-22-10-53-18,17.0899715423584,1.48E-05
2024-07-22-10-53-19,18.197454929351807,1.49E-05
2024-07-22-10-53-21,20.107690811157227,1.49E-05
2024-07-22-10-53-22,21.197511196136475,1.48E-05
2024-07-22-10-53-24,23.33908486366272,1.51E-05
2024-07-22-10-53-25,24.413864612579346,1.50E-05
2024-07-22-10-53-27,26.15233087539673,1.49E-05
2024-07-22-10-53-28,27.229122161865234,1.49E-05
2024-07-22-10-53-30,29.136507511138916,1.50E-05
2024-07-22-10-53-31,30.190085411071777,1.49E-05
2024-07-22-10-53-33,32.13976168632507,1.49E-05
2024-07-22-10-53-34,33.23034405708313,1.50E-05
2024-07-22-10-53-35,34.26530575752258,1.49E-05
2024-07-22-10-53-36,35.31927943229675,1.48E-05
2024-07-22-10-53-37,36.393295764923096,1.48E-05
2024-07-22-10-53-39,38.255128145217896,1.51E-05
2024-07-22-10-53-40,39.34074091911316,1.50E-05
2024-07-22-10-53-42,41.279282331466675,1.49E-05
2024-07-22-10-53-44,43.42815351486206,1.49E-05
2024-07-22-10-53-45,44.628804206848145,1.50E-05
2024-07-22-10-53-47,46.44489765167236,1.47E-05
2024-07-22-10-53-49,48.22796583175659,1.48E-05
2024-07-22-10-53-50,49.32723617553711,1.49E-05
2024-07-22-10-53-52,51.364912271499634,1.48E-05
